id,title,year,runtime,genre,director,cast,writer,language,country,awards,imdb_rating,imdb_votes,box_office
0,The Shawshank Redemption,1994,,,,,,,,,,,
1,Memento,2000,,,,,,,,,,,
2,In Bruges,2008,,,,,,,,,,,
3,Gods,2014,,,,,,,,,,,
4,The Godfather,1972,,,,,,,,,,,
5,The Dark Knight,2008,,,,,,,,,,,
6,12 Angry Men,1957,,,,,,,,,,,
7,Gone Girl,2014,,,,,,,,,,,
8,Pulp Fiction,1994,,,,,,,,,,,
9,Fight Club,1999,,,,,,,,,,,
10,Forrest Gump,1994,,,,,,,,,,,
11,Joker,2019,,,,,,,,,,,
12,Inception,2010,,,,,,,,,,,
13,The Matrix,1999,,,,,,,,,,,
14,Goodfellas,1990,,,,,,,,,,,
15,Seven Samurai,1954,,,,,,,,,,,
16,Se7en,1995,,,,,,,,,,,
17,City of God,2002,,,,,,,,,,,
18,Seven Pounds,2008,,,,,,,,,,,
19,Boyhood,2014,,,,,,,,,,,
20,Contratiempo,2011,,,,,,,,,,,
21,Vicky Cristina Barcelona,2008,,,,,,,,,,,
22,The Silence of the Lambs,1991,,,,,,,,,,,
23,Saving Private Ryan,1998,,,,,,,,,,,
24,The Green Mile ,1999,,,,,,,,,,,
25,Interstellar,2014,,,,,,,,,,,
26,The Usual Suspects,1995,,,,,,,,,,,
27,The Lion King,1994,,,,,,,,,,,
28,Back to the Future,1985,,,,,,,,,,,
29,The Pianist,2002,,,,,,,,,,,
30,The Intouchables,2011,,,,,,,,,,,
31,Psycho,1960,,,,,,,,,,,
32,Gladiator,2000,,,,,,,,,,,
33,City Lights,1931,,,,,,,,,,,
34,The Departed,2006,,,,,,,,,,,
35,Whiplash,2014,,,,,,,,,,,
36,The Prestige,2006,,,,,,,,,,,
37,Casablanca,1942,,,,,,,,,,,
38,Cinema Paradiso,1988,,,,,,,,,,,
39,Alien,1979,,,,,,,,,,,
40,Apocalypse Now,1979,,,,,,,,,,,
41,Django Unchained,2012,,,,,,,,,,,
42,The Shining,1980,,,,,,,,,,,
43,Parasite,2019,,,,,,,,,,,
44,Oldboy,2003,,,,,,,,,,,
45,The Dark Knight Rises,2012,,,,,,,,,,,
46,American Beauty,1999,,,,,,,,,,,
47,Coco,2017,,,,,,,,,,,
48,Braveheart,1995,,,,,,,,,,,
49,Toy Story,1995,,,,,,,,,,,
50,Amadeus,1984,,,,,,,,,,,
51,Inglourious Basterds,2009,,,,,,,,,,,
52,Good Will Hunting,1997,,,,,,,,,,,
53,Requiem for a Dream,2000,,,,,,,,,,,
54,Vertigo,1958,,,,,,,,,,,
55,Eternal Sunshine of the Spotless Mind,2004,,,,,,,,,,,
56,Citizen Kane,1941,,,,,,,,,,,
57,The Hunt,2012,,,,,,,,,,,
58,Enemy at the Gates,2001,,,,,,,,,,,
59,Full Metal Jacket,1987,,,,,,,,,,,
60,A Clockwork Orange,1971,,,,,,,,,,,
61,Snatch,2000,,,,,,,,,,,
62,Scarface,1983,,,,,,,,,,,
63,Lawrence of Arabia,1962,,,,,,,,,,,
64,Taxi Driver,1976,,,,,,,,,,,
65,The Sting,1973,,,,,,,,,,,
66,To Kill a Mockingbird,1962,,,,,,,,,,,
67,Indiana Jones and the Last Crusade,1989,,,,,,,,,,,
68,Ben Hur,2010–,,,,,,,,,,,
69,The Apartment,1960,,,,,,,,,,,
70,Incendies,2010,,,,,,,,,,,
71,Heat,1995,,,,,,,,,,,
72,Batman Begins,2005,,,,,,,,,,,
73,Die Hard,1988,,,,,,,,,,,
74,Unforgiven,1992,,,,,,,,,,,
75,Green Book,2018,,,,,,,,,,,
76,Children of Heaven,1997,,,,,,,,,,,
77,Downfall,2004,,,,,,,,,,,
78,A Beautiful Mind,2001,,,,,,,,,,,
79,Raging Bull,1980,,,,,,,,,,,
80,The Wolf of Wall Street,2013,,,,,,,,,,,
81,Chinatown,1974,,,,,,,,,,,
82,The Gold Rush,1925,,,,,,,,,,,
83,Inside Out,2015,,,,,,,,,,,
84,There Will Be Blood,2007,,,,,,,,,,,
85,V for Vendetta,2005,,,,,,,,,,,
86,Warrior,2011,,,,,,,,,,,
87,Room,2015,,,,,,,,,,,
88,Shazam,2017,,,,,,,,,,,
89,Trainspotting,1996,,,,,,,,,,,
90,No Country for Old Men,2007,,,,,,,,,,,
91,The Sixth Sense,1999,,,,,,,,,,,
92,Shutter Island,2010,,,,,,,,,,,
93,The Thing,1982,,,,,,,,,,,
94,Gone with the Wind,1939,,,,,,,,,,,
95,Blade Runner,1982,,,,,,,,,,,
96,Jurassic Park,1993,,,,,,,,,,,
97,Fargo,1996,,,,,,,,,,,
98,Gran Torino,2008,,,,,,,,,,,
99,The Big Lebowski,1998,,,,,,,,,,,
